species,family
Clostridium_methylpentosum,Oscillospiraceae
Atopobium_vaginae,Atopobiaceae
Dysgonomonas_mossii,Dysgonomonadaceae
Enterobacteria_phage_mEp237,Uroviricota
Olsenella_uli,Atopobiaceae
Anaeroglobus_geminatus,Veillonellaceae
Streptococcus_agalactiae,Streptococcaceae
Lactobacillus_vaginalis,Lactobacillaceae
Lactobacillus_gasseri,Lactobacillaceae
Aeromonas_veronii,Aeromonadaceae
Sutterella_parvirubra,Sutterellaceae
Eubacterium_saphenum,Peptostreptococcales
Cronobacter_malonaticus,Enterobacteriaceae
Lactobacillus_curvatus,Lactobacillaceae
Lactobacillus_acidophilus,Lactobacillaceae
Lactobacillus_amylovorus,Lactobacillaceae
Bulleidia_extructa,Erysipelotrichaceae
Streptococcus_intermedius,Streptococcus
Fusobacterium_necrophorum,Fusobacteriaceae
Streptococcus_dysgalactiae,Streptococcaceae
Prevotella_amnii,Prevotellaceae
Lactobacillus_saerimneri,Lactobacillaceae
Alloscardovia_omnicolens,Bifidobacteriaceae
Klebsiella_phage_KP36,Webervirus
Klebsiella_phage_KP34,Drulisvirus
Tomato_yellow_leaf_curl_China_betasatellite,Tolecusatellitidae
Streptococcus_pyogenes,Streptococcaceae
Pyrococcus_yayanosii,Thermococcaceae
Aeromonas_hydrophila,Aeromonadaceae
Pseudomonas_aeruginosa,Pseudomonadaceae
Campylobacter_concisus,Campylobacteraceae
Streptococcus_constellatus,Streptococcus
Lachnospiraceae_bacterium_ICM7,Lachnospiraceae
Morganella_morganii,Morganellaceae
Enterobacter_asburiae,Enterobacter
Raoultella_ornithinolytica,Klebsiella/Raoultella group
Enterobacter_mori,Enterobacteriaceae
Brevibacillus_borstelensis,Paenibacillaceae
Bacteroides_pectinophilus,Clostridia
Malvastrum_leaf_curl_Philippines_betasatellite,Deltasatellite
Vicia_cryptic_virus,Partitiviridae
Walleye_dermal_sarcoma_virus,Orthoretrovirinae
Lactobacillus_oris,Lactobacillaceae
Parascardovia_denticolens,Bifidobacteriaceae
Rothia_dentocariosa,Micrococcaceae
Pseudoramibacter_alactolyticus,Eubacteriaceae
Enterococcus_pallens,Enterococcaceae
Enterococcus_casseliflavus,Enterococcaceae
Enterococcus_gallinarum,Enterococcaceae
Actinomyces_viscosus,Actinomycetaceae
Peptoniphilus_lacrimalis,Peptoniphilaceae
Lactobacillus_equicursoris,Lactobacillaceae
Cryptobacterium_curtum,Eggerthellaceae
Lactobacillus_rhamnosus,Lactobacillaceae
Odoribacter_laneus,Odoribacteraceae
Saccharomyces_cerevisiae,Saccharomycetaceae
Enterobacteria_phage_PsP3,Eganvirus
Streptococcus_parauberis,Streptococcaceae
Neisseria_flavescens,Neisseriaceae
Parvimonas_micra,Peptoniphilaceae
Tomato_yellow_leaf_curl_Vietnam_virus_satellite_DNA_beta,Tolecusatellitidae
Lactobacillus_johnsonii,Lactobacillaceae
Bacteroides_gallinarum,Bacteroidaceae
Actinomyces_cardiffensis,Actinomycetaceae
Porphyromonas_gingivalis,Porphyromonadaceae
Fretibacterium_fastidiosum,Aminobacteriaceae
Human_herpesvirus_4,Lymphocryptovirus
Leuconostoc_mesenteroides,Lactobacillaceae
Pseudoalteromonas_haloplanktis,Pseudoalteromonadaceae
Porphyromonas_somerae,Porphyromonadaceae
Peptostreptococcus_anaerobius,Peptostreptococcaceae
Anaerococcus_vaginalis,Peptoniphilaceae
Anaerococcus_lactolyticus,Peptoniphilaceae
Meiothermus_silvanus,Thermaceae
Lactobacillus_iners,Lactobacillaceae
Lactobacillus_helveticus,Lactobacillaceae
Pseudoalteromonas_undina,Pseudoalteromonadaceae
Streptococcus_peroris,Streptococcaceae
Eggerthia_catenaformis,Coprobacillaceae
Sida_yellow_vein_virus_satellite_DNA_beta,Tolecusatellitidae
Peptoniphilus_harei,Peptoniphilaceae
Anaerococcus_obesiensis,Peptoniphilaceae
Bifidobacterium_pseudolongum,Bifidobacteriaceae
Honeysuckle_yellow_vein_betasatellite,Tolecusatellitidae
Serratia_marcescens,Yersiniaceae
Atopobium_minutum,Atopobiaceae
Halomonas_boliviensis,Halomonadaceae
Xanthomonas_axonopodis,Lysobacteraceae
Xanthomonas_fuscans,Lysobacteraceae
Xanthomonas_citri,Lysobacteraceae
Helicobacter_pylori,Helicobacteraceae
Neisseria_subflava,Neisseriaceae
Neisseria_meningitidis,Neisseriaceae
Brachyspira_pilosicoli,Brachyspiraceae
Honeysuckle_yellow_vein_mosaic_disease_associated_satellite_DNA_beta,Tolecusatellitidae
Escherichia_albertii,Enterobacteriaceae
Vernonia_yellow_vein_Fujian_virus_betasatellite,Tolecusatellitidae
Clostridium_spiroforme,Coprobacillaceae
Slackia_exigua,Eggerthellaceae
Microlunatus_phosphovorus,Propionibacteriaceae
Paracoccus_denitrificans,Paracoccaceae
Shinella_zoogloeoides,Rhizobiaceae
Kocuria_rhizophila,Micrococcaceae
Haemophilus_pittmaniae,Pasteurellaceae
Actinomyces_oris,Actinomycetaceae
Brevibacterium_casei,Brevibacteriaceae
Bacillus_phage_phiNIT1,Nitunavirus
Enterobacteria_phage_SfV,Uroviricota
Pseudomonas_fragi,Pseudomonadaceae
Staphylococcus_aureus,Staphylococcaceae
Streptococcus_sobrinus,Streptococcaceae
Stomatobaculum_longum,Lachnospiraceae
Rothia_aeria,Micrococcaceae
Lachnospiraceae_bacterium_oral_taxon_082,Lachnospirales
Actinomyces_johnsonii,Actinomycetaceae
Clostridium_bifermentans,Peptostreptococcaceae
Actinomyces_naeslundii,Actinomycetaceae
Selenomonas_noxia,Selenomonadaceae
Actinomyces_massiliensis,Actinomycetaceae
Staphylococcus_xylosus,Staphylococcaceae
Selenomonas_flueggei,Selenomonadaceae
Weissella_paramesenteroides,Lactobacillaceae
Lachnoanaerobaculum_saburreum,Lachnospiraceae
Alloprevotella_tannerae,Prevotellaceae
Buchnera_aphidicola,Erwiniaceae
Porphyromonas_endodontalis,Porphyromonadaceae
Clostridium_phage_phiCP26F,Uroviricota
Salmonella_phage_HK620,Lederbergvirus
Leuconostoc_kimchii,Lactobacillaceae
Haemophilus_parahaemolyticus,Pasteurellaceae
Haemophilus_influenzae,Pasteurellaceae
Pediococcus_pentosaceus,Lactobacillaceae
Tropheryma_whipplei,Tropherymataceae
Vibrio_furnissii,Vibrionaceae
Zunongwangia_profunda,Flavobacteriaceae
